sl_no,gender,comSkill,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,No_certi,Internship,etest_p,placetest_p,sports,status
117,M,Good,68.2,Central,72.8,Central,Commerce,66.6,Compsci,7,none,96,70.85,No,Placed
118,M,Bad,77,Others,75,Others,Science,73,b.Tech itgmt,8,completed,80,67.05,Yes,Placed
119,M,Good,76,Central,80,Central,Science,78,Compsci,17,none,97,70.48,Yes,Placed
120,M,Good,60.8,Central,68.4,Central,Commerce,64.6,Compsci,7,none,82.66,64.34,No,Placed
121,M,Bad,58,Others,40,Others,Science,59,b.Tech itgmt,6,completed,73,58.81,Yes,Not Placed
122,F,Good,64,Central,67,Others,Science,69.6,Compsci,10,none,55.67,71.49,No,Placed
123,F,Bad,66.5,Central,66.8,Central,Arts,69.3,b.Tech itgmt,4,none,80.4,71,No,Placed
124,M,Good,74,Others,59,Others,Commerce,73,Electronics,5,none,60,56.7,Yes,Placed
125,M,Good,67,Central,71,Central,Science,64.33,Compsci,1,none,64,61.26,Yes,Placed
126,F,Good,84,Central,73,Central,Commerce,73,b.Tech itgmt,9,completed,75,73.33,No,Placed
127,F,Bad,79,Others,61,Others,Science,75.5,b.Tech itgmt,3,none,70,68.2,Yes,Placed
128,F,Good,72,Others,60,Others,Science,69,Compsci,13,completed,55.5,58.4,No,Placed
129,M,Good,80.4,Central,73.4,Central,Science,77.72,Compsci,8,none,81.2,76.26,Yes,Placed
130,M,Good,76.7,Central,89.7,Others,Commerce,66,Electronics,4,none,90,68.55,No,Placed
131,M,Good,62,Central,65,Others,Commerce,60,Compsci,1,completed,84,64.15,No,Not Placed
132,F,Good,74.9,Others,57,Others,Science,62,b.Tech itgmt,9,none,80,60.78,Yes,Placed
133,M,Good,67,Others,68,Others,Commerce,64,b.Tech itgmt,5,none,74.4,53.49,No,Placed
134,M,Good,73,Central,64,Others,Commerce,77,Electronics,9,none,65,60.98,No,Placed
135,F,Good,77.44,Central,92,Others,Commerce,72,Compsci,10,none,94,67.13,Yes,Placed
136,F,Good,72,Central,56,Others,Science,69,Compsci,3,completed,55.6,65.63,No,Placed
137,F,Good,47,Central,59,Central,Arts,64,b.Tech itgmt,6,completed,78,61.58,Yes,Not Placed
138,M,Good,67,Others,63,Central,Commerce,72,Compsci,4,completed,56,60.41,No,Placed
139,F,Good,82,Others,64,Others,Science,73,Electronics,9,none,96,71.77,No,Placed
140,M,Good,77,Central,70,Central,Commerce,59,b.Tech itgmt,4,none,58,54.43,No,Placed
141,M,Bad,65,Central,64.8,Others,Commerce,69.5,Compsci,2,none,56,56.94,No,Placed
142,M,Good,66,Central,64,Central,Science,60,b.Tech itgmt,0,completed,60,61.9,No,Not Placed
143,M,Bad,85,Central,60,Others,Science,73.43,Electronics,3,none,60,61.29,No,Placed
144,M,Bad,77.67,Others,64.89,Others,Commerce,70.67,Others,8,completed,89,60.39,No,Placed
145,M,Bad,52,Others,50,Others,Arts,61,b.Tech itgmt,9,completed,60,58.52,No,Not Placed
146,M,Good,89.4,Others,65.66,Others,Science,71.25,b.Tech itgmt,1,completed,72,63.23,Yes,Placed
147,M,Good,62,Central,63,Others,Science,66,Compsci,2,completed,85,55.14,No,Placed
148,M,Bad,70,Central,74,Central,Commerce,65,b.Tech itgmt,0,completed,83,62.28,No,Placed
149,F,Good,77,Central,86,Central,Arts,56,Compsci,0,completed,57,64.08,Yes,Placed
150,M,Good,44,Central,58,Central,Arts,55,Electronics,6,none,64.25,58.54,No,Not Placed
151,M,Bad,71,Central,58.66,Central,Science,58,b.Tech itgmt,3,none,56,61.3,No,Placed
152,M,Good,65,Central,65,Central,Commerce,75,Others,1,completed,83,58.87,No,Placed
153,F,Bad,75.4,Others,60.5,Central,Science,84,b.Tech itgmt,2,completed,98,65.25,No,Placed
154,M,Good,49,Others,59,Others,Science,65,b.Tech itgmt,0,none,86,62.48,No,Placed
155,M,Good,53,Central,63,Others,Science,60,Compsci,3,none,70,53.2,No,Placed
156,M,Good,51.57,Others,74.66,Others,Commerce,59.9,Electronics,0,none,56.15,65.99,No,Not Placed
157,M,Bad,84.2,Central,69.4,Central,Science,65,b.Tech itgmt,4,none,80,52.72,No,Placed
158,M,Good,66.5,Central,62.5,Central,Commerce,60.9,Electronics,5,completed,93.4,55.03,No,Placed
159,M,Good,67,Others,63,Others,Science,64,Others,9,completed,60,61.87,No,Not Placed
160,M,Good,52,Central,49,Others,Commerce,58,b.Tech itgmt,5,completed,62,60.59,Yes,Not Placed
161,M,Good,87,Central,74,Central,Science,65,b.Tech itgmt,2,none,75,72.29,Yes,Placed
162,M,Good,55.6,Others,51,Others,Commerce,57.5,Compsci,4,completed,57.63,62.72,No,Not Placed
163,M,Good,74.2,Central,87.6,Others,Commerce,77.25,b.Tech itgmt,9,none,75.2,66.06,No,Placed
164,M,Good,63,Others,67,Others,Science,64,Electronics,6,completed,75,66.46,No,Placed
165,F,Good,67.16,Central,72.5,Central,Commerce,63.35,b.Tech itgmt,15,completed,53.04,65.52,No,Placed
166,F,Good,63.3,Central,78.33,Others,Commerce,74,b.Tech itgmt,8,completed,80,74.56,Yes,Not Placed
167,M,Good,62,Others,62,Others,Commerce,60,b.Tech itgmt,3,none,63,52.38,No,Placed
168,M,Good,67.9,Others,62,Others,Science,67,Compsci,1,none,58.1,75.71,No,Not Placed
169,F,Good,48,Central,51,Central,Commerce,58,b.Tech itgmt,7,none,60,58.79,No,Not Placed
170,M,Good,59.96,Others,42.16,Others,Science,61.26,b.Tech itgmt,8,completed,54.48,65.48,No,Not Placed
171,F,Bad,63.4,Others,67.2,Others,Commerce,60,Compsci,4,completed,58.06,69.28,No,Not Placed
172,M,Bad,80,Others,80,Others,Commerce,72,b.Tech itgmt,11,none,63.79,66.04,No,Placed
173,M,Bad,73,Others,58,Others,Commerce,56,b.Tech itgmt,1,completed,84,52.64,No,Placed
174,F,Bad,52,Others,52,Others,Science,55,Electronics,6,completed,67,59.32,No,Not Placed
175,M,Bad,73.24,Others,50.83,Others,Science,64.27,b.Tech itgmt,4,none,64,66.23,No,Placed
176,M,Good,63,Others,62,Others,Science,65,b.Tech itgmt,1,completed,87.5,60.69,No,Not Placed
177,F,Good,59,Central,60,Others,Commerce,56,Compsci,7,completed,55,57.9,Yes,Placed
178,F,Good,73,Central,97,Others,Commerce,79,Compsci,8,none,89,70.81,Yes,Placed
179,M,Good,68,Others,56,Others,Science,68,Compsci,17,completed,73,68.07,No,Placed
180,F,Good,77.8,Central,64,Central,Science,64.2,b.Tech itgmt,7,completed,75.5,72.14,No,Not Placed
181,M,Bad,65,Central,71.5,Others,Commerce,62.8,b.Tech itgmt,6,none,57,56.6,No,Placed
182,M,Bad,62,Central,60.33,Others,Science,64.21,b.Tech itgmt,10,completed,63,60.02,No,Not Placed
183,M,Bad,52,Others,65,Others,Arts,57,Electronics,4,none,75,59.81,Yes,Not Placed
184,M,Good,65,Central,77,Central,Commerce,69,b.Tech itgmt,5,completed,60,61.82,Yes,Placed
185,F,Bad,56.28,Others,62.83,Others,Commerce,59.79,b.Tech itgmt,1,completed,60,57.29,No,Not Placed
186,F,Bad,88,Central,72,Central,Science,78,Compsci,9,completed,82,71.43,No,Placed
187,F,Good,52,Central,64,Central,Commerce,61,Compsci,3,completed,55,62.93,No,Not Placed
188,M,Good,78.5,Central,65.5,Central,Science,67,Compsci,13,none,95,64.86,No,Placed
189,M,Bad,61.8,Others,47,Others,Commerce,54.38,b.Tech itgmt,8,completed,57,56.13,Yes,Not Placed
190,F,Bad,54,Central,77.6,Others,Commerce,69.2,b.Tech itgmt,4,completed,95.65,66.94,No,Not Placed
191,F,Bad,64,Others,70.2,Central,Commerce,61,Electronics,1,completed,50,62.5,No,Not Placed
192,M,Bad,67,Others,61,Central,Science,72,Compsci,9,completed,72,61.01,No,Placed
193,M,Good,65.2,Central,61.4,Central,Commerce,64.8,Compsci,5,none,93.4,57.34,No,Placed
194,F,Good,60,Central,63,Central,Arts,56,b.Tech itgmt,9,none,80,56.63,No,Placed
195,M,Bad,52,Others,55,Others,Commerce,56.3,b.Tech itgmt,10,completed,59,64.74,No,Not Placed
196,M,Bad,66,Central,76,Central,Commerce,72,Others,3,none,84,58.95,No,Placed
197,M,Good,72,Others,63,Others,Science,77.5,b.Tech itgmt,6,none,78,54.48,No,Placed
198,F,Good,83.96,Others,53,Others,Science,91,Compsci,4,completed,59.32,69.71,No,Placed
199,F,Good,67,Central,70,Central,Commerce,65,b.Tech itgmt,10,completed,88,71.96,No,Not Placed
200,M,Bad,69,Others,65,Others,Commerce,57,Electronics,11,completed,73,55.8,No,Placed
201,M,Bad,69,Others,60,Others,Commerce,65,b.Tech itgmt,34,completed,87.55,52.81,No,Placed
202,M,Bad,54.2,Central,63,Others,Science,58,b.Tech itgmt,9,completed,79,58.44,No,Not Placed
203,M,Good,70,Central,63,Central,Science,66,Electronics,2,completed,61.28,60.11,No,Placed
204,M,Bad,55.68,Others,61.33,Others,Commerce,56.87,b.Tech itgmt,3,completed,66,58.3,No,Placed
205,F,Bad,74,Others,73,Others,Commerce,73,b.Tech itgmt,4,none,80,67.69,No,Placed
206,M,Good,61,Others,62,Others,Commerce,65,b.Tech itgmt,7,completed,62,56.81,No,Placed
207,M,Good,41,Central,42,Central,Science,60,Compsci,8,completed,97,53.39,No,Not Placed
208,M,Good,83.33,Central,78,Others,Commerce,61,b.Tech itgmt,10,none,88.56,71.55,No,Placed
209,F,Bad,43,Central,60,Others,Science,65,Compsci,9,completed,92.66,62.92,Yes,Not Placed
210,M,Bad,62,Central,72,Central,Commerce,65,b.Tech itgmt,8,completed,67,56.49,No,Placed
211,M,Good,80.6,Others,82,Others,Commerce,77.6,Electronics,6,completed,91,74.49,No,Placed
212,M,Good,58,Others,60,Others,Science,72,b.Tech itgmt,3,completed,74,53.62,Yes,Placed
213,M,Bad,67,Others,67,Others,Commerce,73,Compsci,4,none,59,69.72,No,Placed
214,F,Bad,74,Others,66,Others,Commerce,58,b.Tech itgmt,5,completed,70,60.23,No,Placed
215,M,Bad,62,Central,58,Others,Science,53,b.Tech itgmt,6,completed,89,60.22,No,Not Placed
